IDs,DIOs,DISs,DAOs,Precv,Pforw,Pdrop,Psent,Network,OF,Attack
1,320,43,71,1824,1804,6,1945.0,Static,OF0,0
2,422,36,359,1787,1657,5,1839.0,Static,MRHOF,0
3,435,21,160,559,538,8,607.0,Mobile,OF0,0
4,525,16,270,289,275,2,396.0,Static,OF0,0
5,534,7,20,940,902,1,1071.0,Mobile,MRHOF,0
6,395,2,339,191,177,6,362.0,Mobile,OF0,0
7,130,36,49,1995,1864,1,2128.0,Static,MRHOF,0
8,752,18,217,1679,1518,9,1868.0,Mobile,OF0,0
9,505,14,214,1375,1336,4,1456.0,Static,OF0,0
10,237,45,40,1280,1266,0,1368.0,Mobile,OF0,0
11,697,24,62,1262,1148,0,1397.0,Mobile,MRHOF,0
12,539,39,40,1151,1145,8,1222.0,Static,MRHOF,0
1,456,24,292,198,187,7,232.0,Static,OF0,0
14,692,1,4,1341,1239,8,1355.0,Static,MRHOF,0
3,624,32,230,1364,1313,3,1514.0,Mobile,MRHOF,0
4,85,13,159,1962,1776,2,2047.0,Static,MRHOF,0
17,695,28,27,1743,1700,3,1772.0,Mobile,MRHOF,0
6,397,25,230,289,289,0,409.0,Mobile,OF0,0
7,794,3,358,809,738,8,870.0,Static,OF0,0
20,713,15,314,1497,1402,7,1676.0,Static,OF0,0
21,317,39,385,1510,1398,4,1622.0,Static,OF0,0
1,691,28,53,954,954,2,1079.0,Static,MRHOF,0
2,759,32,246,935,881,7,1057.0,Mobile,OF0,0
12,659,6,469,1634,1491,0,1757.0,Mobile,OF0,0
1,709,36,402,1469,1374,6,1520.0,Mobile,MRHOF,0
2,387,40,128,1902,1718,8,2079.0,Mobile,OF0,0
3,312,16,345,723,664,0,724.0,Mobile,OF0,0
4,86,32,8,1356,1258,2,1403.0,Mobile,OF0,0
8,169,33,407,727,656,3,892.0,Mobile,OF0,0
9,559,25,98,252,235,1,445.0,Mobile,MRHOF,0
7,210,4,288,497,477,3,624.0,Mobile,MRHOF,0
11,82,48,459,1054,969,6,1075.0,Static,MRHOF,0
9,612,8,282,126,125,4,155.0,Mobile,OF0,0
10,502,48,146,1639,1605,0,1655.0,Static,OF0,0
14,422,6,98,1868,1832,7,1960.0,Mobile,MRHOF,0
12,749,33,115,290,262,4,449.0,Static,MRHOF,0
16,67,25,489,1858,1805,9,1924.0,Mobile,MRHOF,0
17,712,2,126,254,245,1,270.0,Mobile,OF0,0
18,225,39,476,1805,1780,2,1854.0,Static,MRHOF,0
19,85,45,19,420,413,2,562.0,Static,OF0,0
5,100,25,185,674,613,5,731.0,Mobile,OF0,0
21,103,43,443,712,705,4,771.0,Static,OF0,0
1,399,47,354,922,883,3,1065.0,Static,MRHOF,0
2,708,17,119,930,912,9,1112.0,Mobile,OF0,0
3,176,9,395,1112,1112,9,1233.0,Mobile,MRHOF,0
4,167,48,88,587,543,4,715.0,Mobile,OF0,0
11,630,22,348,346,344,9,489.0,Static,OF0,0
12,269,5,46,1108,1015,3,1304.0,Mobile,MRHOF,0
7,390,39,99,1412,1312,6,1421.0,Mobile,OF0,0
8,272,10,249,1782,1687,0,1850.0,Mobile,OF0,0
9,307,49,475,995,964,3,1146.0,Mobile,OF0,0
4,740,43,100,1391,1325,0,1551.0,Static,OF0,0
5,446,12,94,1425,1296,2,1459.0,Static,OF0,0
6,651,34,114,716,710,3,773.0,Mobile,OF0,0
7,425,36,216,1400,1263,4,1551.0,Static,MRHOF,0
14,597,18,496,195,191,0,377.0,Static,MRHOF,0
9,322,49,61,695,683,2,871.0,Static,MRHOF,0
10,125,9,454,1919,1792,3,2001.0,Static,MRHOF,0
11,148,12,24,1047,963,3,1099.0,Mobile,MRHOF,0
12,742,42,185,1034,1021,9,1166.0,Static,MRHOF,0
1,707,47,75,1132,1059,9,1276.0,Static,MRHOF,0
2,217,42,392,1045,1019,9,1238.0,Static,OF0,0
3,697,48,364,1956,1871,3,2100.0,Static,OF0,0
1,119,31,274,544,501,5,710.0,Static,MRHOF,0
5,175,3,172,752,695,3,951.0,Mobile,MRHOF,0
6,436,13,347,289,265,0,441.0,Static,MRHOF,0
4,107,44,172,771,727,4,850.0,Mobile,MRHOF,0
8,725,35,146,1655,1510,8,1703.0,Static,OF0,0
9,615,3,143,570,514,9,585.0,Static,MRHOF,0
7,422,8,121,1471,1382,7,1656.0,Mobile,OF0,0
11,90,36,191,601,585,8,761.0,Mobile,OF0,0
9,607,35,252,489,472,2,685.0,Static,OF0,0
10,291,45,4,1242,1123,0,1359.0,Mobile,OF0,0
2,331,25,341,926,900,0,1086.0,Mobile,MRHOF,0
3,454,48,310,617,590,0,813.0,Static,MRHOF,0
4,72,37,52,776,703,9,858.0,Mobile,MRHOF,0
14,50,45,204,1895,1783,7,,Mobile,MRHOF,0
6,203,34,437,217,215,1,228.0,Static,OF0,0
16,783,17,111,866,820,6,950.0,Mobile,MRHOF,0
8,471,34,293,1429,1332,1,1458.0,Static,MRHOF,0
18,357,38,480,1083,1005,6,1188.0,Static,MRHOF,0
19,187,17,329,884,801,7,952.0,Static,MRHOF,0
11,175,43,42,1875,1761,8,2025.0,Static,OF0,0
21,569,4,359,999,944,8,1193.0,Static,MRHOF,0
1,110,19,276,1128,1047,9,,Static,MRHOF,0
2,282,12,345,1169,1136,0,1246.0,Mobile,MRHOF,0
3,298,47,120,313,299,7,406.0,Static,MRHOF,0
4,75,36,256,107,107,2,286.0,Mobile,MRHOF,0
5,575,26,27,177,176,9,190.0,Static,OF0,0
6,672,23,237,462,418,1,499.0,Static,MRHOF,0
7,680,37,27,813,775,8,829.0,Static,OF0,0
8,586,17,12,1335,1311,3,1472.0,Mobile,OF0,0
9,277,47,469,133,126,7,245.0,Static,OF0,0
10,567,26,319,1861,1678,5,1981.0,Mobile,MRHOF,0
11,631,48,3,1473,1399,7,1527.0,Mobile,MRHOF,0
12,89,37,35,1019,925,5,1084.0,Static,MRHOF,0
1,695,49,93,603,566,2,664.0,Static,OF0,0
14,75,45,299,1768,1699,9,1885.0,Static,MRHOF,0
15,162,12,46,100,91,5,136.0,Mobile,MRHOF,0
4,308,33,389,789,780,4,939.0,Static,OF0,0
17,691,20,320,1442,1342,8,1458.0,Mobile,MRHOF,0
18,468,30,94,1940,1872,1,2017.0,Static,OF0,0
19,637,35,34,612,573,5,671.0,Static,MRHOF,0
8,278,14,315,897,863,4,1061.0,Mobile,MRHOF,0
21,623,4,88,1872,1831,8,2017.0,Static,OF0,0
1,740,38,352,1146,1084,0,1298.0,Static,OF0,0
2,665,40,434,1162,1112,5,1295.0,Static,MRHOF,0
3,497,15,110,1792,1760,3,1946.0,Static,OF0,0
1,460,33,253,295,274,1,304.0,Mobile,MRHOF,0
5,208,47,227,315,296,7,329.0,Mobile,MRHOF,0
3,373,12,172,229,211,2,392.0,Static,MRHOF,0
4,709,11,253,1965,1862,5,2098.0,Static,MRHOF,0
8,412,12,217,240,233,1,350.0,Static,OF0,0
9,405,48,323,1256,1137,4,1327.0,Static,OF0,0
7,427,9,50,1152,1075,7,1192.0,Static,OF0,0
11,662,21,345,1745,1582,5,1801.0,Static,MRHOF,0
9,710,47,456,1432,1296,9,1611.0,Mobile,MRHOF,0
10,624,25,89,174,169,1,308.0,Mobile,MRHOF,0
11,689,43,442,975,925,5,1126.0,Mobile,MRHOF,0
12,210,49,284,162,152,5,,Mobile,OF0,0
1,133,41,176,247,226,5,309.0,Static,MRHOF,0
2,785,13,477,314,296,7,375.0,Static,MRHOF,0
3,526,30,143,1547,1529,1,1547.0,Static,MRHOF,0
19,551,28,112,213,208,2,275.0,Static,OF0,0
5,692,32,265,1581,1472,1,1704.0,Mobile,MRHOF,0
21,227,7,348,1131,1067,8,1197.0,Static,OF0,0
7,377,47,228,678,628,0,769.0,Static,MRHOF,0
2,137,14,287,1243,1198,3,1407.0,Mobile,MRHOF,0
9,56,10,262,1796,1646,4,1942.0,Mobile,MRHOF,0
10,749,18,1,914,846,3,924.0,Static,OF0,0
11,168,12,19,360,331,8,412.0,Mobile,MRHOF,0
6,413,24,80,813,784,7,871.0,Mobile,OF0,0
1,164,17,13,620,581,1,644.0,Mobile,OF0,0
2,543,4,153,541,513,1,,Mobile,OF0,0
3,91,36,40,1033,1000,0,1197.0,Mobile,OF0,0
4,678,42,341,126,118,5,293.0,Mobile,OF0,0
5,504,10,172,1524,1403,1,1577.0,Static,MRHOF,0
12,420,26,28,248,238,7,258.0,Static,MRHOF,0
7,793,35,309,197,183,7,346.0,Static,MRHOF,0
14,197,19,226,1367,1287,1,1520.0,Static,OF0,0
15,66,1,216,160,150,7,201.0,Static,MRHOF,0
16,278,44,171,1558,1457,1,1569.0,Static,MRHOF,0
11,66,10,56,1946,1900,7,2028.0,Mobile,MRHOF,0
12,534,16,197,1323,1299,1,1411.0,Static,MRHOF,0
1,587,47,287,877,862,6,1021.0,Static,OF0,0
20,440,14,334,728,722,8,842.0,Static,OF0,0
3,526,18,222,1089,1051,2,1234.0,Mobile,MRHOF,0
1,208,24,482,719,660,1,849.0,Static,MRHOF,0
5,413,39,14,596,593,5,748.0,Mobile,OF0,0
6,475,44,381,1573,1519,2,1742.0,Static,OF0,0
7,190,18,415,1731,1609,6,1776.0,Static,MRHOF,0
8,367,44,184,371,362,8,473.0,Mobile,MRHOF,0
9,52,45,141,475,446,1,542.0,Static,OF0,0
7,754,46,462,684,670,0,804.0,Static,MRHOF,0
8,110,37,426,1503,1465,7,1565.0,Mobile,MRHOF,0
12,275,25,198,663,660,7,810.0,Static,OF0,0
1,542,46,329,1230,1133,8,1398.0,Mobile,MRHOF,0
11,566,5,53,1170,1084,0,1178.0,Static,OF0,0
3,539,35,177,949,888,0,951.0,Mobile,MRHOF,0
13,138,9,67,1480,1383,8,1663.0,Mobile,MRHOF,0
5,244,25,225,1455,1447,7,1479.0,Mobile,MRHOF,0
15,173,15,37,427,423,9,572.0,Static,OF0,0
7,642,40,300,323,294,2,508.0,Mobile,OF0,0
17,798,33,261,315,297,7,406.0,Mobile,OF0,0
9,412,45,344,1816,1647,3,2006.0,Static,OF0,0
10,796,45,313,860,830,6,1029.0,Mobile,MRHOF,0
20,600,31,81,455,454,6,648.0,Static,MRHOF,0
12,282,17,359,1346,1249,7,1454.0,Mobile,MRHOF,0
1,504,10,232,1347,1285,4,1368.0,Mobile,MRHOF,0
2,373,27,191,1140,1129,5,1284.0,Mobile,OF0,0
3,169,18,305,1393,1365,3,1572.0,Static,OF0,0
4,82,6,366,178,168,9,203.0,Static,MRHOF,0
5,148,13,488,138,132,3,169.0,Mobile,MRHOF,0
6,508,27,194,948,893,4,994.0,Mobile,OF0,0
7,708,5,386,1630,1630,9,1753.0,Static,OF0,0
8,573,18,270,591,576,7,650.0,Mobile,MRHOF,0
9,569,15,26,1809,1760,3,2007.0,Static,MRHOF,0
10,585,3,403,1681,1667,8,1879.0,Mobile,OF0,0
11,570,38,431,1116,1057,5,1232.0,Mobile,OF0,0
12,766,17,71,1912,1895,1,2021.0,Mobile,MRHOF,0
1,350,25,288,201,193,7,211.0,Mobile,OF0,0
2,637,46,159,1586,1507,5,1671.0,Mobile,MRHOF,0
15,291,33,1,324,324,8,,Static,OF0,0
16,152,2,165,970,881,9,1112.0,Mobile,OF0,0
5,366,3,122,108,103,8,210.0,Static,OF0,0
18,313,8,177,1983,1922,3,2044.0,Static,OF0,0
7,133,16,387,1513,1456,5,1666.0,Static,MRHOF,0
20,63,11,465,1113,1102,6,1124.0,Static,MRHOF,0
21,196,46,355,784,777,6,836.0,Static,MRHOF,0
1,772,22,36,1475,1420,8,1533.0,Static,OF0,0
11,494,29,437,1330,1234,6,1405.0,Mobile,MRHOF,0
3,73,20,292,615,588,3,,Static,MRHOF,0
4,666,36,249,1240,1143,3,1305.0,Static,MRHOF,0
2,420,12,130,1360,1343,7,1380.0,Mobile,OF0,0
6,149,48,477,1722,1681,1,1840.0,Static,OF0,0
4,367,47,13,603,565,8,686.0,Mobile,MRHOF,0
5,77,2,162,1352,1348,0,1519.0,Mobile,MRHOF,0
6,352,31,394,1133,1067,5,1146.0,Mobile,MRHOF,0
10,410,1,132,1399,1392,0,1455.0,Static,OF0,0
8,156,37,174,1327,1279,0,1446.0,Mobile,OF0,0
9,669,20,369,433,432,8,469.0,Mobile,MRHOF,0
10,84,6,484,1880,1822,4,2040.0,Static,MRHOF,0
14,325,24,250,1934,1809,1,1983.0,Mobile,OF0,0
15,544,43,177,1018,975,5,1101.0,Static,MRHOF,0
16,385,42,379,474,467,1,558.0,Mobile,MRHOF,0
17,407,5,494,185,171,1,377.0,Mobile,MRHOF,0
18,463,18,144,1661,1526,7,,Mobile,MRHOF,0
19,50,19,286,1777,1725,4,1881.0,Mobile,MRHOF,0
20,753,6,62,1708,1548,8,1796.0,Mobile,OF0,0
6,208,41,458,1447,1350,5,1578.0,Static,MRHOF,0
1,446,41,278,950,876,0,1037.0,Mobile,OF0,0
8,704,1,75,810,796,4,956.0,Static,MRHOF,0
9,785,49,290,201,191,2,400.0,Static,MRHOF,0
4,52,21,281,427,426,5,,Mobile,OF0,0
5,182,34,303,1416,1373,3,1430.0,Mobile,MRHOF,0
6,547,44,378,526,482,4,676.0,Static,OF0,0
1,173,15,280,1927,1877,3,1947.0,Mobile,MRHOF,0
8,422,46,26,1792,1637,2,1927.0,Static,OF0,0
9,51,49,76,743,737,9,781.0,Mobile,OF0,0
10,290,42,444,397,362,3,592.0,Static,MRHOF,0
11,425,45,361,658,646,6,807.0,Mobile,MRHOF,0
6,75,9,270,109,102,9,229.0,Mobile,OF0,0
13,98,26,346,1416,1349,1,1567.0,Mobile,OF0,0
14,195,19,163,1092,1038,1,1160.0,Mobile,MRHOF,0
15,722,21,464,761,714,4,903.0,Static,OF0,0
10,699,9,77,1200,1144,8,1201.0,Static,OF0,0
17,603,39,424,1876,1853,2,1943.0,Static,MRHOF,0
12,670,46,35,843,808,2,915.0,Mobile,OF0,0
